en_original;bg_original;cs_original;da_original;de_original;el_original;es_original;et_original;fi_original;fr_original;hr_original;hu_original;it_original;lt_original;lv_original;mt_original;nl_original;pl_original;pt_original;ro_original;sk_original;sl_original;sv_original;no_original;is_original
Read attached instructions before use.;Прочетете приложените инструкции преди употреба.;Před použitím si přečtěte přiložené pokyny.;Læs vedlagte instruktioner før brug.;Lesen Sie die beigefügten Anweisungen vor der Verwendung.;Διαβάστε τις συνημμένες οδηγίες πριν από τη χρήση.;Lea las instrucciones adjuntas antes de usar.;Lugege enne kasutamist lisatud juhiseid.;Lue liitetyt ohjeet ennen käyttöä.;Lire les instructions jointes avant utilisation.;Pročitajte priložene upute prije uporabe.;Használat előtt olvassa el a mellékelt utasításokat.;Leggere le istruzioni allegate prima dell'uso.;Prieš naudojimą perskaitykite pridėtas instrukcijas.;Pirms lietošanas izlasiet pievienotās instrukcijas.;Aqra l-istruzzjonijiet mehmuża qabel l-użu.;Lees de bijgevoegde instructies voor gebruik.;Przeczytaj załączone instrukcje przed użyciem.;Leia as instruções anexas antes de usar.;Citiți instrucțiunile atașate înainte de utilizare.;Pred použitím si prečítajte priložené pokyny.;Pred uporabo preberite priložena navodila.;Läs bifogade instruktioner före användning.;Les vedlagte instruksjoner før bruk.;Lesið meðfylgjandi leiðbeiningar fyrir notkun.
This product is a with biocidal products treated article.;Този продукт е изделие, третирано с биоцидни продукти.;Tento výrobek je ošetřený biocidními přípravky.;Dette produkt er en med biocidholdige produkter behandlet artikel.;Dieses Produkt ist ein mit Biozidprodukten behandelter Artikel.;Το προϊόν αυτό είναι ένα αντικείμενο επεξεργασμένο με βιοκτόνα προϊόντα.;Este producto es un artículo tratado con productos biocidas.;See toode on biotsiiditoodetega töödeldud artikkel.;Tämä tuote on biosidituotteilla käsitelty esine.;Ce produit est un article traité avec des produits biocides.;Ovaj proizvod je članak tretiran biocidnim proizvodima.;Ez a termék biocid termékekkel kezelt árucikk.;Questo prodotto è un articolo trattato con prodotti biocidi.;Šis produktas yra su biocidiniais produktais apdorotas gaminys.;Šis produkts ir ar biocīdiem produktiem apstrādāts izstrādājums.;Dan il-prodott huwa artiklu trattat b'prodotti bijoċidali.;Dit product is een met biociden behandeld artikel.;Ten produkt jest artykułem traktowanym produktami biobójczymi.;Este produto é um artigo tratado com produtos biocidas.;Acest produs este un articol tratat cu produse biocide.;Tento výrobok je ošetrený biocídnymi výrobkami.;Ta izdelek je obdelan članek z biocidnimi proizvodi.;Denna produkt är en artikel behandlad med biocidprodukter.;Dette produktet er en med biocidprodukter behandlet artikkel.;Þessi vara er með sýklalyfjum meðhöndluð grein.
Contains biocidal products.;Съдържа биоцидни продукти.;Obsahuje biocidní přípravky.;Indeholder biocidholdige produkter.;Enthält Biozidprodukte.;Περιέχει βιοκτόνα προϊόντα.;Contiene productos biocidas.;Sisaldab biotsiiditooteid.;Sisältää biosidituotteita.;Contient des produits biocides.;Sadrži biocidne proizvode.;Biocid termékeket tartalmaz.;Contiene prodotti biocidi.;Sudėtyje yra biocidinių produktų.;Satur biocīdus produktus.;Fih prodotti bijoċidali.;Bevat biociden.;Zawiera produkty biobójcze.;Contém produtos biocidas.;Conține produse biocide.;Obsahuje biocídne výrobky.;Vsebuje biocidne proizvode.;Innehåller biocidprodukter.;Inneholder biocidprodukter.;Inniheldur sýklalyf.
Nano;Нано;Nano;Nano;Nano;Νανο;Nano;Nano;Nano;Nano;Nano;Nano;Nano;Nano;Nano;Nano;Nano;Nano;Nano;Nano;Nano;Nano;Nano;Nano;Nano
EN 417 (Non-refillable metallic gas cartridges for liquefied petroleum gases);EN 417 (Незареждащи се метални газови патрони за втечнени въглеводородни газове);EN 417 (Náplně z kovu na zkapalněné ropné plyny, které nelze znovu naplnit);EN 417 (Ikke-genopfyldelige metalgaspatroner til flydende petroleumsgasser);EN 417 (Nicht nachfüllbare Metallgaspatronen für verflüssigte Petroleumgase);EN 417 (Μη επαναγεμιζόμενοι μεταλλικοί αερολύματα για υγροποιημένα αέρια πετρελαίου);EN 417 (Cartuchos metálicos no recargables para gases licuados del petróleo);EN 417 (Mitte täidetavad metallist gaasikassetid vedelgaaside jaoks);EN 417 (Kertakäyttöiset metalliset kaasupatruunat nestekaasuille);EN 417 (Cartouches métalliques non rechargeables pour gaz de pétrole liquéfiés);EN 417 (Nadopunjive metalne plinske patrone za ukapljene naftne plinove);EN 417 (Nem utántölthető fém gázpatronok cseppfolyósított propán-bután gázokhoz);EN 417 (Cartucce di gas metalliche non ricaricabili per gas di petrolio liquefatti);EN 417 (Neužpildomos metalinės dujų kasetės suskystintoms naftos dujoms);EN 417 (Neuzpildāmas metāla gāzes kasetnes sašķidrinātām naftas gāzēm);EN 417 (Kartuni tal-gass metalliku li ma jerġax jimtela għall-gassijiet tal-petrolju likwifikat);EN 417 (Niet navulbare metalen gaspatronen voor vloeibaar petroleumgas);EN 417 (Nienapełnialne metalowe kartusze gazowe dla skroplonych gazów ropopochodnych);EN 417 (Cartuchos metálicos não recarregáveis para gases de petróleo liquefeitos);EN 417 (Cartușe metalice nereîncărcabile pentru gaze petroliere lichefiate);EN 417 (Náplne z kovu na skvapalnené ropné plyny, ktoré nie sú opakovane plniteľné);EN 417 (Nekratke kovinske plinske kartuše za utekočinjene naftne pline);EN 417 (Icke-påfyllningsbara metalliska gaspatroner för förvätskade petroleumgaser);EN 417 (Ikke-påfyllbare metalliske gasspatroner for flytende petroleumsgasser);EN 417 (Óáfyllanlegar málmgashylki fyrir fljótandi jarðolíugas)
Do not let gas flow out unburned. Do not inhale.;Не оставяйте газът да изтича необгорен. Не вдишвайте.;Nenechte plyn unikat bez spálení. Nevdechujte.;Lad ikke gas strømme ud uforbrændt. Indånd ikke.;Gas nicht unverbrannt ausströmen lassen. Nicht einatmen.;Μην αφήνετε το αέριο να ρέει χωρίς να καίγεται. Μην εισπνέετε.;No deje que el gas salga sin quemar. No inhale.;Ärge laske gaasil välja voolata põlemata. Ärge hingake sisse.;Älä anna kaasun virrata palamattomana. Älä hengitä sisään.;Ne laissez pas le gaz s'échapper sans être brûlé. Ne pas inhaler.;Ne dopustite da plin izlazi neizgoren. Ne udišite.;Ne engedje, hogy a gáz égés nélkül kiáramoljon. Ne lélegezze be.;Non lasciare che il gas fuoriesca non bruciato. Non inalare.;Neleiskite dujoms ištekėti nesudegus. Neįkvėpkite.;Neļaujiet gāzei izplūst nesadedzinātai. Neieelpojiet.;Tħallix il-gass joħroġ mingħajr ma jinħaraq. Tinhalaqx.;Laat geen gas onbrandbaar ontsnappen. Niet inademen.;Nie pozwól, aby gaz wypływał nie spalony. Nie wdychaj.;Não deixe o gás fluir sem queimar. Não inale.;Nu lăsați gazul să curgă nears. Nu inhalați.;Nenechajte plyn unikať bez spálenia. Nevdychujte.;Ne pustite, da plin izteka neizgorelo. Ne vdihavajte.;Låt inte gasen flöda ut obrännt. Inhalera inte.;Ikke la gass strømme ut uten å brenne. Ikke inhaler.;Ekki láta gas flæða út óbrennt. Ekki anda að sér.
Replace the sealing if it is damaged or lost.;Сменете уплътнението, ако е повредено или липсва.;Vyměňte těsnění, pokud je poškozené nebo chybí.;Udskift forseglingen, hvis den er beskadiget eller mangler.;Ersetzen Sie die Dichtung, wenn sie beschädigt oder verloren ist.;Αντικαταστήστε τη σφράγιση εάν είναι κατεστραμμένη ή χαμένη.;Reemplace el sello si está dañado o perdido.;Vahetage tihend, kui see on kahjustatud või kadunud.;Vaihda tiiviste, jos se on vaurioitunut tai kadonnut.;Remplacez le joint s'il est endommagé ou perdu.;Zamijenite brtvu ako je oštećena ili izgubljena.;Cserélje ki a tömítést, ha sérült vagy elveszett.;Sostituire la guarnizione se è danneggiata o persa.;Pakeiskite sandariklį, jei jis pažeistas arba prarastas.;Nomainiet blīvējumu, ja tas ir bojāts vai pazudis.;Ibdel is-siġill jekk ikun imħassar jew mitluf.;Vervang de afdichting als deze beschadigd of verloren is.;Wymień uszczelkę, jeśli jest uszkodzona lub zgubiona.;Substitua a vedação se estiver danificada ou perdida.;Înlocuiți garnitura dacă este deteriorată sau pierdută.;Vymeniť tesnenie, ak je poškodené alebo stratené.;Zamenjajte tesnilo, če je poškodovano ali izgubljeno.;Byt ut tätningen om den är skadad eller förlorad.;Bytt tetningen hvis den er skadet eller mistet.;Skipta um þéttingu ef hún er skemmd eða týnd.
Avoid thread damage.;Избягвайте повреда на резбата.;Vyvarujte se poškození závitu.;Undgå beskadigelse af gevind.;Vermeiden Sie Gewindeschäden.;Αποφύγετε τη ζημιά στο σπείρωμα.;Evite dañar la rosca.;Vältige keermete kahjustamist.;Vältä kierteiden vaurioitumista.;Évitez d'endommager le filetage.;Izbjegavajte oštećenje navoja.;Kerülje a menetek sérülését.;Evitare danni alla filettatura.;Venkite sriegio pažeidimo.;Izvairieties no vītnes bojājumiem.;Evita ħsara fil-ħajta.;Voorkom beschadiging van de schroefdraad.;Unikaj uszkodzenia gwintu.;Evite danos na rosca.;Evitați deteriorarea filetului.;Vyhnite sa poškodeniu závitu.;Izogibajte se poškodbam navoja.;Undvik gängskador.;Unngå skader på gjengene.;Forðast skemmdir á þræði.
Unscrew until it stops.;Развийте до спиране.;Odšroubujte, dokud se nezastaví.;Skru af, indtil det stopper.;Bis zum Anschlag abschrauben.;Ξεβιδώστε μέχρι να σταματήσει.;Desenrosque hasta que se detenga.;Keerake lahti, kuni see peatub.;Kierrä auki, kunnes se pysähtyy.;Dévissez jusqu'à ce que cela s'arrête.;Odvijte dok se ne zaustavi.;Csavarja le, amíg meg nem áll.;Svita fino a quando si ferma.;Atsukite, kol sustos.;Atskrūvējiet, līdz tas apstājas.;Skroja sakemm jieqaf.;Draai los tot het stopt.;Odkręć do momentu zatrzymania.;Desenrosque até parar.;Deșurubați până se oprește.;Odskrutkujte, kým sa nezastaví.;Odvijte do konca.;Skruva loss tills det stannar.;Skru ut til det stopper.;Losaðu þar til það stoppar.
Replace the empty cartridges: Handle in a well-ventilated place without ignition sources. Close the shut-off valve of the unit completely. Make sure that the cartridge is empty (shake to see if the sound of liquid is audible). Unscrew the upper unit completely. Replace the seal of the connection if it is damaged or lost. Insert the new cartridge in the holder and screw the upper unit on until it stops.;Сменете празните патрони: Работете на добре проветриво място без източници на запалване. Затворете напълно спирателния вентил на устройството. Уверете се, че патронът е празен (разклатете, за да чуете дали се чува звук на течност). Развийте напълно горната част на устройството. Сменете уплътнението на връзката, ако е повредено или липсва. Поставете новия патрон в държача и завийте горната част на устройството до спиране.;Vyměňte prázdné náplně: Manipulujte na dobře větraném místě bez zdrojů zapálení. Úplně uzavřete uzavírací ventil jednotky. Ujistěte se, že je náplň prázdná (zatřeste, abyste zjistili, zda je slyšet zvuk kapaliny). Úplně odšroubujte horní jednotku. Vyměňte těsnění spojení, pokud je poškozené nebo chybí. Vložte novou náplň do držáku a zašroubujte horní jednotku, dokud se nezastaví.;Udskift de tomme patroner: Håndter på et godt ventileret sted uden antændelseskilder. Luk enhedens afspærringsventil helt. Sørg for, at patronen er tom (ryst for at høre, om lyden af væske er hørbar). Skru den øverste enhed helt af. Udskift forbindelsens forsegling, hvis den er beskadiget eller mangler. Indsæt den nye patron i holderen og skru den øverste enhed på, indtil det stopper.;Leere Kartuschen ersetzen: In einem gut belüfteten Bereich ohne Zündquellen handhaben. Schließen Sie das Absperrventil der Einheit vollständig. Stellen Sie sicher, dass die Kartusche leer ist (schütteln, um zu hören, ob das Geräusch von Flüssigkeit hörbar ist). Schrauben Sie die obere Einheit vollständig ab. Ersetzen Sie die Dichtung der Verbindung, wenn sie beschädigt oder verloren ist. Setzen Sie die neue Kartusche in den Halter ein und schrauben Sie die obere Einheit bis zum Anschlag auf.;Αντικαταστήστε τις άδειες κασέτες: Χειριστείτε σε καλά αεριζόμενο χώρο χωρίς πηγές ανάφλεξης. Κλείστε εντελώς τη βαλβίδα διακοπής της μονάδας. Βεβαιωθείτε ότι η κασέτα είναι άδεια (κουνήστε για να δείτε αν ακούγεται ο ήχος του υγρού). Ξεβιδώστε εντελώς την επάνω μονάδα. Αντικαταστήστε τη σφράγιση της σύνδεσης εάν είναι κατεστραμμένη ή χαμένη. Εισάγετε τη νέα κασέτα στη θήκη και βιδώστε την επάνω μονάδα μέχρι να σταματήσει.;Reemplace los cartuchos vacíos: Manipule en un lugar bien ventilado sin fuentes de ignición. Cierre completamente la válvula de cierre de la unidad. Asegúrese de que el cartucho esté vacío (agite para ver si se oye el sonido del líquido). Desenrosque completamente la unidad superior. Reemplace el sello de la conexión si está dañado o perdido. Inserte el nuevo cartucho en el soporte y enrosque la unidad superior hasta que se detenga.;Vahetage tühjad kassetid: käsitsege hästi ventileeritavas kohas ilma süüteallikateta. Sulgege seadme sulgeventiil täielikult. Veenduge, et kassett on tühi (raputage, et kuulda, kas vedeliku heli on kuuldav). Keerake ülemine osa täielikult lahti. Vahetage ühenduse tihend, kui see on kahjustatud või kadunud. Sisestage uus kassett hoidikusse ja keerake ülemine osa peale, kuni see peatub.;Vaihda tyhjät patruunat: Käsittele hyvin ilmastoidussa tilassa ilman sytytyslähteitä. Sulje laitteen sulkuventtiili kokonaan. Varmista, että patruuna on tyhjä (ravista nähdäksesi, kuuluuko nesteen ääni). Kierrä yläosa kokonaan auki. Vaihda liitoksen tiiviste, jos se on vaurioitunut tai kadonnut. Aseta uusi patruuna pidikkeeseen ja kierrä yläosa kiinni, kunnes se pysähtyy.;Remplacez les cartouches vides : Manipulez dans un endroit bien ventilé sans sources d'ignition. Fermez complètement la vanne d'arrêt de l'appareil. Assurez-vous que la cartouche est vide (secouez pour voir si le son du liquide est audible). Dévissez complètement l'unité supérieure. Remplacez le joint de la connexion s'il est endommagé ou perdu. Insérez la nouvelle cartouche dans le support et vissez l'unité supérieure jusqu'à ce que cela s'arrête.;Zamijenite prazne patrone: Rukujte na dobro prozračenom mjestu bez izvora paljenja. Potpuno zatvorite zaporni ventil uređaja. Provjerite je li patrona prazna (protresite da vidite je li zvuk tekućine čujan). Potpuno odvijte gornji dio uređaja. Zamijenite brtvu spoja ako je oštećena ili izgubljena. Umetnite novu patronu u držač i zavijte gornji dio uređaja dok se ne zaustavi.;Cserélje ki az üres patronokat: Kezelje jól szellőző helyen, gyújtóforrások nélkül. Zárja el teljesen a készülék elzáró szelepét. Győződjön meg róla, hogy a patron üres (rázza meg, hogy hallható-e a folyadék hangja). Csavarja le teljesen a felső egységet. Cserélje ki a csatlakozás tömítését, ha sérült vagy elveszett. Helyezze be az új patront a tartóba, és csavarja rá a felső egységet, amíg meg nem áll.;Sostituire le cartucce vuote: Manipolare in un luogo ben ventilato senza fonti di accensione. Chiudere completamente la valvola di intercettazione dell'unità. Assicurarsi che la cartuccia sia vuota (agitare per vedere se il suono del liquido è udibile). Svita completamente l'unità superiore. Sostituire la guarnizione del collegamento se è danneggiata o persa. Inserire la nuova cartuccia nel supporto e avvitare l'unità superiore fino a quando si ferma.;Pakeiskite tuščias kasetes: tvarkykite gerai vėdinamoje vietoje be uždegimo šaltinių. Visiškai uždarykite įrenginio uždarymo vožtuvą. Įsitikinkite, kad kasetė yra tuščia (pakratykite, kad išgirstumėte skysčio garsą). Visiškai atsukite viršutinį įrenginį. Pakeiskite jungties sandariklį, jei jis pažeistas arba prarastas. Įdėkite naują kasetę į laikiklį ir užsukite viršutinį įrenginį, kol sustos.;Nomainiet tukšās kasetnes: Apstrādājiet labi vēdināmā vietā bez aizdegšanās avotiem. Pilnībā aizveriet ierīces noslēgšanas vārstu. Pārliecinieties, ka kasetne ir tukša (sakratiet, lai dzirdētu, vai ir dzirdama šķidruma skaņa). Pilnībā atskrūvējiet augšējo ierīci. Nomainiet savienojuma blīvējumu, ja tas ir bojāts vai pazudis. Ievietojiet jauno kasetni turētājā un pieskrūvējiet augšējo ierīci, līdz tā apstājas.;Ibdel il-kartuni vojta: Immaniġġja f'post ventilat tajjeb mingħajr sorsi ta' tqabbid. Għalaq il-valv tal-għeluq tal-unità kompletament. Kun żgur li l-kartuna hija vojta (xejjer biex tara jekk il-ħoss tal-likwidu huwiex udibbli). Skroja l-unità ta' fuq kompletament. Ibdel is-siġill tal-konnessjoni jekk ikun imħassar jew mitluf. Daħħal il-kartuna l-ġdida fil-holder u skroja l-unità ta' fuq sakemm jieqaf.;Vervang de lege patronen: Handel op een goed geventileerde plaats zonder ontstekingsbronnen. Sluit de afsluiter van het apparaat volledig. Zorg ervoor dat de patroon leeg is (schud om te zien of het geluid van vloeistof hoorbaar is). Draai de bovenste eenheid volledig los. Vervang de afdichting van de verbinding als deze beschadigd of verloren is. Plaats de nieuwe patroon in de houder en draai de bovenste eenheid erop tot het stopt.;Wymiana pustych kartuszy: Przeprowadź w dobrze wentylowanym miejscu bez źródeł zapłonu. Całkowicie zamknij zawór odcinający urządzenia. Upewnij się, że kartusz jest pusty (potrząśnij, aby sprawdzić, czy słychać dźwięk cieczy). Całkowicie odkręć górną część urządzenia. Wymień uszczelkę połączenia, jeśli jest uszkodzona lub zgubiona. Włóż nowy kartusz do uchwytu i dokręć górną część urządzenia do momentu zatrzymania.;Substitua os cartuchos vazios: Manuseie em local bem ventilado, sem fontes de ignição. Feche completamente a válvula de corte da unidade. Certifique-se de que o cartucho está vazio (agite para verificar se o som do líquido é audível). Desenrosque completamente a unidade superior. Substitua a vedação da conexão se estiver danificada ou perdida. Insira o novo cartucho no suporte e enrosque a unidade superior até parar.;Înlocuiți cartușele goale: Manipulați într-un loc bine ventilat, fără surse de aprindere. Închideți complet robinetul de închidere al unității. Asigurați-vă că cartușul este gol (agitați pentru a vedea dacă sunetul lichidului este audibil). Deșurubați complet unitatea superioară. Înlocuiți garnitura conexiunii dacă este deteriorată sau pierdută. Introduceți cartușul nou în suport și înșurubați unitatea superioară până se oprește.;Vymeňte prázdne náplne: Manipulujte na dobre vetranom mieste bez zdrojov zapálenia. Úplne zatvorte uzatvárací ventil jednotky. Uistite sa, že náplň je prázdna (potraste, aby ste zistili, či je počuť zvuk kvapaliny). Úplne odskrutkujte hornú jednotku. Vymeňte tesnenie spojenia, ak je poškodené alebo stratené. Vložte novú náplň do držiaka a hornú jednotku zaskrutkujte, kým sa nezastaví.;Zamenjava praznih kartuš: Ravnajte v dobro prezračenem prostoru brez virov vžiga. Popolnoma zaprite zaporni ventil naprave. Prepričajte se, da je kartuša prazna (pretresite, da preverite, ali je slišen zvok tekočine). Popolnoma odvijte zgornjo enoto. Zamenjajte tesnilo priključka, če je poškodovano ali izgubljeno. Vstavite novo kartušo v držalo in privijte zgornjo enoto do konca.;Byt ut de tomma patronerna: Hantera på en välventilerad plats utan antändningskällor. Stäng avstängningsventilen på enheten helt. Kontrollera att patronen är tom (skaka för att se om ljudet av vätska hörs). Skruva loss den övre enheten helt. Byt ut tätningen på anslutningen om den är skadad eller förlorad. Sätt in den nya patronen i hållaren och skruva på den övre enheten tills det stannar.;Bytt de tomme patronene: Håndter på et godt ventilert sted uten tennkilder. Lukk avstengningsventilen på enheten helt. Sørg for at patronen er tom (rist for å høre om lyden av væske er hørbar). Skru den øvre enheten helt av. Bytt tetningen på forbindelsen hvis den er skadet eller mistet. Sett inn den nye patronen i holderen og skru den øvre enheten på til det stopper.;Skipta um tómar hylki: Meðhöndla á vel loftræstu svæði án upptökum elds. Lokaðu lokunarventli einingarinnar alveg. Gakktu úr skugga um að hylkið sé tómt (hrista til að sjá hvort hljóð vökva heyrist). Losaðu efri eininguna alveg. Skipta um þéttingu tengingar ef hún er skemmd eða týnd. Settu nýja hylkið í haldarann og skrúfaðu efri eininguna á þar til það stoppar.
Follow all installation instructions for the device.;Следвайте всички инструкции за монтаж на устройството.;Dodržujte všechny pokyny k instalaci zařízení.;Følg alle installationsinstruktioner for enheden.;Befolgen Sie alle Installationsanweisungen für das Gerät.;Ακολουθήστε όλες τις οδηγίες εγκατάστασης για τη συσκευή.;Siga todas las instrucciones de instalación del dispositivo.;Järgige kõiki seadme paigaldusjuhiseid.;Noudata laitteen asennusohjeita.;Suivez toutes les instructions d'installation de l'appareil.;Slijedite sve upute za instalaciju uređaja.;Kövesse a készülék összeszerelési utasításait.;Seguire tutte le istruzioni di installazione per il dispositivo.;Laikykitės visų įrenginio montavimo instrukcijų.;Ievērojiet visas ierīces uzstādīšanas instrukcijas.;Segwi l-istruzzjonijiet kollha ta' installazzjoni għall-apparat.;Volg alle installatie-instructies voor het apparaat.;Przestrzegaj wszystkich instrukcji instalacji urządzenia.;Siga todas as instruções de instalação do dispositivo.;Urmați toate instrucțiunile de instalare pentru dispozitiv.;Dodržiavajte všetky pokyny na inštaláciu zariadenia.;Upoštevajte vse navodila za namestitev naprave.;Följ alla installationsinstruktioner för enheten.;Følg alle installasjonsinstruksjoner for enheten.;Fylgdu öllum uppsetningarleiðbeiningum fyrir tækið.
Store in a cool and dry place.;Съхранявайте на хладно и сухо място.;Skladujte na chladném a suchém místě.;Opbevares på et køligt og tørt sted.;An einem kühlen und trockenen Ort lagern.;Αποθηκεύστε σε δροσερό και ξηρό μέρος.;Almacene en un lugar fresco y seco.;Hoida jahedas ja kuivas kohas.;Säilytä viileässä ja kuivassa paikassa.;Conservez dans un endroit frais et sec.;Čuvati na hladnom i suhom mjestu.;Hűvös és száraz helyen tárolandó.;Conservare in un luogo fresco e asciutto.;Laikykite vėsioje ir sausoje vietoje.;Uzglabāt vēsā un sausā vietā.;Aħżen f'post frisk u niexef.;Bewaar op een koele en droge plaats.;Przechowuj w chłodnym i suchym miejscu.;Armazene em local fresco e seco.;Depozitați într-un loc răcoros și uscat.;Skladujte na chladnom a suchom mieste.;Shranjujte na hladnem in suhem mestu.;Förvara på en sval och torr plats.;Oppbevares på et kjølig og tørt sted.;Geymið á köldum og þurrum stað.
Dispose of in a safe place.;Изхвърлете на безопасно място.;Likvidujte na bezpečném místě.;Bortskaffes på et sikkert sted.;An einem sicheren Ort entsorgen.;Απορρίψτε σε ασφαλές μέρος.;Deseche en un lugar seguro.;Hävitage ohutus kohas.;Hävitä turvallisessa paikassa.;Éliminez dans un endroit sûr.;Odložite na sigurno mjesto.;Biztonságos helyen ártalmatlanítandó.;Smaltire in un luogo sicuro.;Išmeskite saugioje vietoje.;Izmetiet drošā vietā.;Armi f'post sigur.;Verwijder op een veilige plaats.;Utylizuj w bezpiecznym miejscu.;Descarte em local seguro.;Eliminați într-un loc sigur.;Zlikvidujte na bezpečnom mieste.;Odložite na varno mesto.;Kassera på en säker plats.;Kast på et sikkert sted.;Farga á öruggum stað.
Do not open the container by force.;Не отваряйте контейнера със сила.;Násilím neotevírejte obal.;Åbn ikke beholderen med magt.;Behälter nicht gewaltsam öffnen.;Μην ανοίγετε το δοχείο με δύναμη.;No abra el contenedor por la fuerza.;Ärge avage konteinerit jõuga.;Älä avaa säiliötä väkisin.;Ne pas ouvrir le récipient par la force.;Ne otvarajte spremnik silom.;Ne nyissa ki az edényt erőszakkal.;Non aprire il contenitore con forza.;Neatidarykite konteinerio jėga.;Neatveriet konteineru ar spēku.;Tiftaħx il-kontenitur bil-forza.;Open de container niet met geweld.;Nie otwieraj pojemnika siłą.;Não abra o recipiente à força.;Nu deschideți containerul cu forța.;Nesnažte sa otvoriť nádobu silou.;Ne odpirajte posode na silo.;Öppna inte behållaren med våld.;Ikke åpne beholderen med makt.;Ekki opna ílátið með valdi.
Protect from direct sunlight.;Предпазвайте от пряка слънчева светлина.;Chraňte před přímým slunečním zářením.;Beskyt mod direkte sollys.;Vor direkter Sonneneinstrahlung schützen.;Προστατέψτε από την άμεση ηλιακή ακτινοβολία.;Proteger de la luz solar directa.;Kaitske otsese päikesevalguse eest.;Suojaa suoralta auringonvalolta.;Protéger de la lumière directe du soleil.;Zaštitite od izravne sunčeve svjetlosti.;Védje a közvetlen napfénytől.;Proteggere dalla luce solare diretta.;Apsaugokite nuo tiesioginių saulės spindulių.;Sargāt no tiešiem saules stariem.;Ipproteġi mix-xemx diretta.;Bescherm tegen direct zonlicht.;Chroń przed bezpośrednim działaniem promieni słonecznych.;Proteja da luz solar direta.;Protejați de lumina directă a soarelui.;Chráňte pred priamym slnečným žiarením.;Zaščitite pred neposredno sončno svetlobo.;Skydda från direkt solljus.;Beskytt mot direkte sollys.;Vernda gegn beinu sólarljósi.
Do not expose to temperatures above 50°C.;Не излагайте на температури над 50°C.;Nevystavujte teplotám nad 50°C.;Udsæt ikke for temperaturer over 50°C.;Nicht Temperaturen über 50°C aussetzen.;Μην εκθέτετε σε θερμοκρασίες άνω των 50°C.;No exponga a temperaturas superiores a 50°C.;Ärge jätke temperatuuridele üle 50°C.;Älä altista yli 50 °C lämpötiloille.;Ne pas exposer à des températures supérieures à 50°C.;Ne izlažite temperaturama iznad 50°C.;Ne tegye ki 50°C feletti hőmérsékletnek.;Non esporre a temperature superiori a 50°C.;Neleiskite temperatūrai viršyti 50°C.;Neizstādīt temperatūrai virs 50°C.;Tħallix espost għal temperaturi 'l fuq minn 50°C.;Niet blootstellen aan temperaturen boven 50°C.;Nie wystawiaj na temperatury powyżej 50°C.;Não exponha a temperaturas acima de 50°C.;Nu expuneți la temperaturi de peste 50°C.;Nevystavujte teplotám nad 50°C.;Ne izpostavljajte temperaturam nad 50°C.;Utsätt inte för temperaturer över 50°C.;Ikke utsett for temperaturer over 50°C.;Ekki láta verða fyrir hitastigi yfir 50°C.
This cartridge corresponds to EN 417.;Този патрон съответства на EN 417.;Tato náplň odpovídá EN 417.;Denne patron svarer til EN 417.;Diese Kartusche entspricht EN 417.;Αυτή η κασέτα αντιστοιχεί στο EN 417.;Este cartucho corresponde a EN 417.;See kassett vastab EN 417-le.;Tämä patruuna vastaa EN 417 -standardia.;Cette cartouche correspond à EN 417.;Ova patrona odgovara EN 417.;Ez a patron megfelel az EN 417 szabványnak.;Questa cartuccia corrisponde a EN 417.;Ši kasetė atitinka EN 417.;Šī kasetne atbilst EN 417.;Din il-kartuna tikkorrispondi għal EN 417.;Deze patroon voldoet aan EN 417.;Ten kartusz odpowiada normie EN 417.;Este cartucho está em conformidade com a EN 417.;Acest cartuș corespunde EN 417.;Táto náplň zodpovedá EN 417.;Ta kartuša ustreza EN 417.;Denna patron motsvarar EN 417.;Denne patronen tilsvarer EN 417.;Þetta hylki samsvarar EN 417.
Follow the instructions for use of the associated device.;Следвайте инструкциите за употреба на свързаното устройство.;Dodržujte pokyny k použití přidruženého zařízení.;Følg brugsanvisningen for den tilhørende enhed.;Befolgen Sie die Gebrauchsanweisung des zugehörigen Geräts.;Ακολουθήστε τις οδηγίες χρήσης της συσχετιζόμενης συσκευής.;Siga las instrucciones de uso del dispositivo asociado.;Järgige seotud seadme kasutusjuhiseid.;Noudata laitteen käyttöohjeita.;Suivez les instructions d'utilisation de l'appareil associé.;Slijedite upute za uporabu pripadajućeg uređaja.;Kövesse a kapcsolódó készülék használati utasításait.;Seguire le istruzioni per l'uso del dispositivo associato.;Laikykitės susijusio įrenginio naudojimo instrukcijų.;Ievērojiet saistītās ierīces lietošanas instrukcijas.;Segwi l-istruzzjonijiet għall-użu tal-apparat assoċjat.;Volg de gebruiksinstructies van het bijbehorende apparaat.;Przestrzegaj instrukcji użytkowania powiązanego urządzenia.;Siga as instruções de uso do dispositivo associado.;Urmați instrucțiunile de utilizare ale dispozitivului asociat.;Dodržiavajte pokyny na použitie pripojeného zariadenia.;Upoštevajte navodila za uporabo povezane naprave.;Följ bruksanvisningen för den tillhörande enheten.;Følg bruksanvisningen for den tilknyttede enheten.;Fylgdu leiðbeiningum um notkun tengds tækis.
